Time,Mass,Temp1,HRR,Thickness,Temp2
 1.8842305E+002, 1.1995391E+001, 4.6214171E+002, 1.3918569E+002, 4.9535910E-002, 4.2066136E+002
 1.8960697E+002, 1.1988285E+001, 4.6200225E+002, 1.4148940E+002, 4.9533514E-002, 4.2335121E+002
 1.9081905E+002, 1.1981121E+001, 4.6328171E+002, 1.4215561E+002, 4.9531134E-002, 4.2320723E+002
 1.9201797E+002, 1.1973897E+001, 4.6527200E+002, 1.4526308E+002, 4.9528777E-002, 4.2424334E+002
 1.9320698E+002, 1.1966675E+001, 4.7614466E+002, 1.4932171E+002, 4.9526478E-002, 4.2884768E+002
 1.9441719E+002, 1.1959334E+001, 4.7091436E+002, 1.5173373E+002, 4.9524204E-002, 4.3041253E+002
 1.9562218E+002, 1.1951867E+001, 4.7282534E+002, 1.5449351E+002, 4.9521950E-002, 4.3088182E+002
 1.9681611E+002, 1.1944516E+001, 4.7127205E+002, 1.5287786E+002, 4.9519761E-002, 4.3114872E+002
 1.9802208E+002, 1.1937178E+001, 4.7155144E+002, 1.5649540E+002, 4.9517613E-002, 4.3214251E+002
 1.9921393E+002, 1.1929746E+001, 4.7254955E+002, 1.6045713E+002, 4.9515514E-002, 4.3214110E+002
 2.0042241E+002, 1.1922306E+001, 4.8152620E+002, 1.6247668E+002, 4.9513464E-002, 4.3490335E+002
 2.0161146E+002, 1.1914871E+001, 4.7767918E+002, 1.6160121E+002, 4.9511463E-002, 4.3750558E+002
 2.0282203E+002, 1.1907517E+001, 4.7555556E+002, 1.6394627E+002, 4.9509517E-002, 4.3711605E+002
 2.0401116E+002, 1.1900097E+001, 4.7308265E+002, 1.6650268E+002, 4.9507629E-002, 4.3547820E+002
 2.0521298E+002, 1.1892750E+001, 4.7993504E+002, 1.6749503E+002, 4.9505811E-002, 4.3712817E+002
 2.0641013E+002, 1.1885419E+001, 4.7896396E+002, 1.6820344E+002, 4.9504053E-002, 4.3873313E+002
 2.0761623E+002, 1.1878025E+001, 4.7988277E+002, 1.7321450E+002, 4.9502359E-002, 4.3974537E+002
 2.0881512E+002, 1.1870597E+001, 4.8161004E+002, 1.7615541E+002, 4.9500738E-002, 4.4067973E+002
 2.1002308E+002, 1.1863180E+001, 4.8106856E+002, 1.7632194E+002, 4.9499196E-002, 4.4176096E+002
 2.1121389E+002, 1.1855879E+001, 4.8223199E+002, 1.7747500E+002, 4.9497740E-002, 4.4183383E+002
