General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,171,20.30726657,93.822816,0.00459038,0.75750255,0.931315,1.010029,104.984699,-0.0355,0,0,402.206,355.854,374.063,1016.994,301.005,0
,,172,20.30759078,93.388092,0.00439351,0.7574338,0.929973,1.003708,104.849399,-0.0359,0,0,312.084,355.726,373.828,1016.842,274.158,0
,,173,20.30807243,92.651759,0.00434923,0.75745317,0.927576,1.007021,104.722769,-0.0361,0,0,258.498,355.631,373.575,1016.723,198.835,0
,,174,20.30796763,94.377041,0.00434923,0.75497584,0.927455,1.006225,104.538304,-0.036,0,0,509.071,355.471,373.235,1016.621,423.009,0
,,175,20.30898132,95.792147,0.00434499,0.7543028,0.94414,0.992352,104.246944,-0.0362,0,0,413.178,355.342,372.973,1016.63,337.582,0
,,176,20.30903975,95.770797,0.00433968,0.75433223,0.938991,0.993233,104.129083,-0.0358,0,0,270.105,355.289,372.83,1016.565,188.558,0
,,177,20.31340071,94.877419,0.0043386,0.75185556,0.938863,0.999783,104.011862,-0.0362,0,0,361.146,355.29,372.781,1016.504,301.593,0
,,178,20.31865594,95.386941,0.00434704,0.75121157,0.934815,1.005551,103.860062,-0.0356,0,0,494.468,355.279,372.676,1016.475,263.976,0
,,179,20.32291084,95.053151,0.00434499,0.7487344,0.942055,1.006156,103.692691,-0.0363,0,0,355.449,355.262,372.6,1016.461,197.692,0
,,180,20.32714491,94.789223,0.00434815,0.74810085,0.938194,1.010565,103.591486,-0.0361,0,0,248.351,355.252,372.568,1016.514,-7.89029932022095E+37,0
,,181,20.33558275,93.654071,0.00408648,0.74561412,0.950367,1.010976,103.514647,-0.0363,0,0,422.869,355.23,372.385,1016.493,-2.13395760983505E+37,0
,,182,20.34383141,94.236835,0.00401427,0.74261136,0.94536,0.998972,103.361181,-0.0359,0,0,395.774,355.17,372.203,1016.354,304.862,0
,,183,20.35069136,95.599775,0.00401427,0.74185304,0.940889,0.992434,103.222534,-0.0363,0,0,395.379,355.1,372.17,1016.293,203.922,0
,,184,20.35702667,95.94386,0.00376526,0.73933323,0.946253,0.995746,103.092251,-0.0361,0,0,346.037,355.16,372.221,1016.334,427.177,0
,,185,20.36128862,95.28253,0.00367935,0.73624183,0.951546,1.000384,102.999467,-0.0362,0,0,444.783,355.252,372.228,1016.242,470.597,0
,,186,20.36525466,95.465557,0.00367395,0.73561842,0.954038,0.999518,102.809792,-0.0362,0,0,337.535,355.279,372.217,1016.123,319.97,0
,,187,20.36922465,94.821636,0.00367812,0.73320906,0.959278,1.007257,102.664998,-0.0364,0,0,236.656,355.277,372.124,1016.051,212.064,0
,,188,20.37323123,94.254901,0.00367927,0.73007122,0.950771,1.013706,102.542789,-0.036,0,0,383.477,355.203,372.04,1015.916,337.589,0
,,189,20.37687727,95.187873,0.00367927,0.72690026,0.958318,1.006348,102.371979,-0.0361,0,0,407.156,355.163,371.912,1015.747,304.052,0
,,190,20.37994592,95.306596,0.00367079,0.72625649,0.953371,1.001104,102.139281,-0.0362,0,0,220.809,355.144,371.912,1015.649,199.063,0
,,191,20.38225339,94.998425,0.00368135,0.7237691,0.962702,1.005628,101.965687,-0.0364,0,0,125.207,355.14,371.84,1015.585,273.951,0
,,192,20.38503849,93.964896,0.00368035,0.72060903,0.955532,1.00143,101.827625,-0.0363,0,0,442.118,355.046,371.666,1015.508,416.051,0
,,193,20.38670314,93.899759,0.00358179,0.71751761,0.960955,0.994723,101.618565,-0.0363,0,0,454.373,355.066,371.715,1015.379,308.137,0
,,194,20.38823623,94.149195,0.00339015,0.71693297,0.966904,1.001563,101.451199,-0.0364,0,0,-7.76604239016495E+37,355.134,371.624,1015.221,302.295,0
,,195,20.39025753,95.499752,0.00335262,0.71446786,0.969256,1.008507,101.320291,-0.0363,0,0,-2.16810100078583E+37,355.054,371.553,1015.176,303.267,0
,,196,20.39264173,94.85002,0.0033465,0.71125757,0.965487,1.007563,101.176824,-0.0359,0,0,469.253,354.983,371.315,1015.091,231.386,0
,,197,20.39463472,94.346094,0.00334855,0.70815568,0.962804,1.006724,101.039228,-0.0362,0,0,259.072,354.864,371.206,1015.059,110.008,0
,,198,20.39693817,93.898529,0.00307839,0.7074927,0.963246,1.009685,100.892544,-0.036,0,0,395.57,354.792,371.018,1015.073,363.088,0
,,199,20.39977768,94.227952,0.0030093,0.70499561,0.970236,1.006422,100.790382,-0.0361,0,0,515.685,354.719,370.759,1015.106,354.123,0
,,200,20.40336687,93.792374,0.00301354,0.70187403,0.963767,0.998336,100.670164,-0.0361,0,0,509.774,354.638,370.593,1015.116,178.998,0
,,201,20.40623117,95.31632,0.00300628,0.70120143,0.962449,0.996786,100.527672,-0.0362,0,0,290.644,354.581,370.566,1014.985,267.944,0
,,202,20.41042541,95.198073,0.00274235,0.69875334,0.964265,1.00062,100.446944,-0.0353,0,0,569.592,354.543,370.495,1014.901,396.159,0
,,203,20.41264714,95.308842,0.00266587,0.69563277,0.962242,0.999078,100.346974,-0.0353,0,0,406.793,354.629,370.546,1014.804,218.283,0
,,204,20.4146806,95.005351,0.00267219,0.69302519,0.959845,1.004234,100.137314,-0.0364,0,0,228.281,354.608,370.476,1014.727,245.555,0
,,205,20.4174652,95.06258,0.00267435,0.69196962,0.96356,1.01277,99.952441,-0.0364,0,0,406.059,354.586,370.543,1014.668,439.017,0
,,206,20.41977268,94.845357,0.00267435,0.6893418,0.970945,1.01482,99.837061,-0.0359,0,0,385.299,354.595,370.384,1014.649,271.797,0
,,207,20.42231051,94.461871,0.00241159,0.68629897,0.972113,1.004463,99.692843,-0.0363,0,0,327.555,354.582,370.322,1014.605,195.678,0
,,208,20.42480287,95.339296,0.00233517,0.68559761,0.970576,0.999591,99.550956,-0.0364,0,0,-7.85762119308634E+37,354.552,370.319,1014.492,219.366,0
,,209,20.42614155,96.700211,0.00233824,0.68310066,0.979392,0.998572,99.408181,-0.0361,0,0,-2.13395760983505E+37,354.646,370.3,1014.46,391.004,0
,,210,20.42701085,95.522343,0.00234783,0.67994063,0.968048,0.99467,99.229162,-0.0361,0,0,391.275,354.649,370.2,1014.368,295.038,0
,,211,20.42822802,96.101367,0.00207888,0.67933537,0.969269,0.997909,99.091392,-0.0357,0,0,146.168,354.614,370.194,1014.289,173.089,0
,,212,20.42915509,94.972375,0.00199594,0.6768299,0.967882,1.010868,98.946169,-0.0363,0,0,311.718,354.594,370.131,1014.22,323.988,0
,,213,20.43100302,94.566448,0.00200626,0.67380578,0.968879,1.016168,98.816091,-0.0366,0,0,406.263,354.529,369.977,1014.161,285.443,0
,,214,20.43167455,93.905456,0.00200555,0.67315451,0.974057,1.010359,98.67275,-0.0361,0,0,313.606,354.5,369.862,1014.057,205.025,0
,,215,20.43300966,95.621123,0.00200016,0.67059878,0.969341,1.004039,98.539612,-0.0365,0,0,232.473,354.498,369.936,1013.949,190.471,0
,,216,20.43419591,95.923815,0.00199906,0.66744745,0.967487,1.005637,98.474151,-0.0361,0,0,456.669,354.453,369.755,1013.887,440.127,0
,,217,20.4346238,96.292629,0.00174048,0.66685285,0.977321,0.999644,98.380453,-0.036,0,0,358.235,354.409,369.633,1013.837,364.149,0
,,218,20.43740288,95.48241,0.00166942,0.66438738,0.976934,0.997803,98.289818,-0.036,0,0,181.89,354.391,369.637,1013.763,204.972,0
,,219,20.44088727,95.449491,0.00166527,0.66129463,0.969773,1.002003,98.194702,-0.0365,0,0,207.203,354.326,369.527,1013.7,342.002,0
,,220,20.44313755,96.818431,0.00166411,0.66062209,0.970627,1.009959,98.078207,-0.0364,0,0,521.122,354.2,369.384,1013.691,433.565,0
,,221,20.4449959,95.632311,0.00166411,0.65817423,0.970329,1.011225,97.87396,-0.0361,0,0,347.867,354.178,369.241,1013.606,181.518,0
,,222,20.44731493,93.969926,0.00167255,0.6575016,0.97039,1.008076,97.775013,-0.0362,0,0,309.804,354.14,369.119,1013.507,141.377,0
,,223,20.4501254,93.561287,0.0016664,0.65505338,0.968797,1.007293,97.676631,-0.0359,0,0,368.365,354.12,369.101,1013.475,244.314,0
,,224,20.45331374,94.934197,0.00166833,0.65182528,0.97376,1.008799,97.535236,-0.0363,0,0,387.509,354.119,369.067,1013.505,266.175,0
,,225,20.45696796,94.949694,0.00166942,0.65120057,0.973631,0.999611,97.355569,-0.0365,0,0,341.911,354.172,368.966,1013.591,150.32,0
,,226,20.46050676,93.931076,0.00166942,0.64868375,0.980083,0.99465,97.183678,-0.0365,0,0,303.196,354.091,368.87,1013.523,333.813,0
,,227,20.46612735,94.494503,0.00166942,0.64559259,0.975077,1.002831,97.073227,-0.0364,0,0,542.553,354.082,368.834,1013.507,409.552,0
,,228,20.47015388,95.310189,0.00166942,0.64496919,0.973168,1.012389,96.932644,-0.0358,0,0,192.815,354.053,368.759,1013.448,146.197,0
,,229,20.47449225,94.907066,0.00166095,0.64248215,0.974612,1.008957,96.818138,-0.0362,0,0,147.923,354.079,368.722,1013.4,258.077,0
,,230,20.47862152,95.985961,0.00166303,0.63944026,0.976034,1.009626,96.70678,-0.0363,0,0,491.94,354.036,368.663,1013.355,420.091,0
,,231,20.48178749,94.963485,0.00139711,0.63870838,0.979449,1.012408,96.62716,-0.0363,0,0,348.103,353.96,368.511,1013.371,287.505,0
,,232,20.48430858,94.595673,0.0013291,0.63627014,0.981814,1.002902,96.515813,-0.0362,0,0,217.824,353.934,368.384,1013.367,199.166,0
,,233,20.48629361,95.238791,0.0013291,0.63312992,0.98072,0.991513,96.377763,-0.0366,0,0,279.599,353.89,368.308,1013.374,276.938,0
,,234,20.48732576,95.252989,0.0013291,0.62999896,0.979378,0.999255,96.200231,-0.0356,0,0,414.791,353.885,368.242,1013.307,308.545,0
,,235,20.48897991,95.705582,0.0013291,0.62941536,0.976869,1.010458,96.068512,-0.0362,0,0,188.256,353.941,368.311,1013.305,364.136,0
,,236,20.49042288,95.468324,0.0013291,0.62684936,0.971563,1.004855,95.882058,-0.0365,0,0,187.663,353.988,368.332,1013.315,443.246,0
,,237,20.49219027,95.737018,0.00132062,0.62374788,0.975969,1.008158,95.741531,-0.0366,0,0,400.033,354.009,368.225,1013.3,516.957,0
,,238,20.49257114,96.147032,0.00133118,0.62059787,0.979814,1.019086,95.653639,-0.0366,0,0,-7.89029932022095E+37,353.963,368.225,1013.219,-7.89029932022095E+37,0
,,239,20.49363924,95.195669,0.00132594,0.62003331,0.976214,1.008165,95.502838,-0.0364,0,0,-2.00970067977905E+37,353.979,368.255,1013.126,-2.00970067977905E+37,0
,,240,20.49391129,94.792964,0.00132378,0.61752655,0.976869,0.992664,95.395795,-0.0358,0,0,253.332,354.007,368.135,1013.151,403.745,0
,,241,20.49433853,95.086293,0.00133226,0.61439591,0.970134,0.999412,95.269397,-0.0362,0,0,243.215,354.002,368.125,1013.121,237.345,0
,,242,20.49615631,94.304507,0.00133442,0.61376245,0.982137,1.007714,95.176554,-0.0357,0,0,-7.89029932022095E+37,353.993,368.136,1013.168,237.701,0
,,243,20.49680521,94.524208,0.00133018,0.61127542,0.973037,1.003392,95.044253,-0.0358,0,0,-2.00970067977905E+37,354.035,368.246,1013.179,460.053,0
,,244,20.49814134,94.784987,0.00133334,0.60815457,0.958028,1.002167,94.946687,-0.0361,0,0,366.476,354.149,368.309,1013.132,452.632,0
,,245,20.49868142,95.248253,0.00132594,0.60503398,0.969755,1.010299,94.826944,-0.0364,0,0,208.398,354.224,368.324,1013.196,-7.89029932022095E+37,0
,,246,20.49894749,94.205034,0.00132802,0.60440052,0.976774,1.01311,94.676982,-0.0362,0,0,384.638,354.286,368.318,1013.198,-2.00970067977905E+37,0
,,247,20.5000695,94.150004,0.00132486,0.60187364,0.974197,1.001454,94.519723,-0.0361,0,0,431.418,354.275,368.377,1013.208,392.528,0
,,248,20.50076879,94.349405,0.00132802,0.60123004,0.969776,0.999696,94.411821,-0.0362,0,0,368.051,354.294,368.366,1013.244,374.999,0
,,249,20.50087761,94.814255,0.0013291,0.59878249,0.977491,1.003295,94.287359,-0.0362,0,0,156.514,354.298,368.382,1013.302,313.908,0
,,250,20.50173209,96.378052,0.00133334,0.5981196,0.975732,1.000348,94.198868,-0.0363,0,0,465.245,354.281,368.32,1013.344,419.172,0
,,251,20.50238392,96.004939,0.00133442,0.5956222,0.97535,0.996567,94.042391,-0.0363,0,0,491.842,354.207,368.243,1013.351,307.246,0
,,252,20.50205684,96.442354,0.00133442,0.59503859,0.977708,1.007295,93.952913,-0.0365,0,0,190.925,354.151,368.143,1013.286,128.788,0
,,253,20.50216335,95.6403,0.00133018,0.59251172,0.98366,1.016442,93.801682,-0.0359,0,0,293.912,354.139,368.057,1013.327,210.931,0
,,254,20.502645,95.872284,0.0013291,0.59182862,0.977552,1.012249,93.63099,-0.0359,0,0,407.562,354.086,368.023,1013.314,228.243,0
,,255,20.50424916,95.619416,0.0013291,0.5894105,0.97953,0.999175,93.492644,-0.0365,0,0,263.701,354.073,367.994,1013.307,194.916,0
,,256,20.50463003,95.862031,0.00133757,0.58875767,0.974006,0.997986,93.397644,-0.0361,0,0,199.269,354.024,367.961,1013.317,293.539,0
,,257,20.50463003,95.817271,0.0013355,0.58870813,0.973579,0.998436,93.285098,-0.0362,0,0,463.118,354.1,368.002,1013.249,450.206,0
,,258,20.50484365,94.709291,0.00133018,0.58625016,0.976687,0.995915,93.130603,-0.0365,0,0,363.22,354.21,368.001,1013.178,233.333,0
,,259,20.50596616,94.999681,0.0013291,0.58558719,0.972994,1.001323,93.023823,-0.0364,0,0,216.233,354.182,367.99,1013.211,225.817,0
,,260,20.50666545,95.59932,0.00133334,0.58316906,0.977437,1.010931,92.962108,-0.0359,0,0,421.395,354.202,368.086,1013.214,387.737,0
,,261,20.50826961,94.52612,0.00132594,0.58247675,0.967961,1.014751,92.833229,-0.036,0,0,283.218,354.269,368.07,1013.239,194.866,0
,,262,20.50865048,95.248409,0.00132378,0.58245664,0.973451,1.004864,92.683881,-0.0363,0,0,163.664,354.31,368.076,1013.238,274.176,0
,,263,20.50886757,94.805408,0.00132809,0.57996929,0.975075,0.999926,92.526671,-0.0362,0,0,360.095,354.396,368.22,1013.325,454.307,0
,,264,20.50977642,94.87426,0.00133335,0.57934604,0.979313,1.005966,92.36198,-0.0362,0,0,275.308,354.478,368.328,1013.243,315.266,0
,,265,20.51042482,94.630534,0.00133011,0.57937627,0.983601,0.999667,92.191245,-0.0363,0,0,160.316,354.475,368.292,1013.185,200.8,0
,,266,20.51074117,95.902664,0.0013291,0.57688831,0.976814,0.995778,92.016816,-0.0363,0,0,380.664,354.424,368.262,1013.168,366.239,0
,,267,20.51100834,96.773964,0.0013291,0.57630422,0.97498,1.005357,91.914097,-0.0355,0,0,382.603,354.363,368.145,1013.157,291.162,0
,,268,20.51234447,97.057768,0.00133334,0.57623531,0.968148,1.01448,91.840756,-0.0363,0,0,-7.89029932022095E+37,354.31,368.121,1013.079,-7.89029932022095E+37,0
,,269,20.51245731,96.200877,0.00106745,0.57376765,0.969768,1.006569,91.762437,-0.0359,0,0,-2.00970067977905E+37,354.333,368.022,1013.012,-2.00970067977905E+37,0
,,270,20.51218581,93.581536,0.00099515,0.57310412,0.978133,1.001055,91.64951,-0.0356,0,0,365.031,354.365,368.054,1013.006,408.309,0
,,271,20.51256382,95.631662,0.0009984,0.57317399,0.9798,1.011471,91.523114,-0.036,0,0,-7.9219482129519E+37,354.27,367.933,1013.026,169.832,0
,,272,20.51288455,96.720746,0.00099522,0.5731543,0.972269,1.003915,91.412649,-0.0361,0,0,-2.00970067977905E+37,354.22,367.893,1013.035,407.191,0
,,273,20.51293896,96.511387,0.0009899,0.57061737,0.977438,0.989688,91.26129,-0.0361,0,0,394.664,354.208,367.854,1013.091,363.275,0
,,274,20.51272534,95.664742,0.00098882,0.57005273,0.97036,0.997825,91.131314,-0.0364,0,0,-7.89029932022095E+37,354.246,367.898,1013.138,130.45,0
,,275,20.51224369,94.707339,0.00099306,0.57003336,0.974066,1.004431,90.977264,-0.0359,0,0,-2.00970067977905E+37,354.266,367.899,1013.192,381.014,0
,,276,20.51384383,95.925621,0.00099838,0.56994434,0.96744,1.007159,90.847861,-0.0358,0,0,498.029,354.33,367.992,1013.15,300.626,0
,,277,20.5147133,94.811887,0.00099515,0.56996435,0.969889,1.008634,90.70019,-0.0363,0,0,366.625,354.366,368.076,1013.145,167.738,0
,,278,20.51481517,95.274177,0.00126643,0.56743711,0.964246,1.008874,90.580434,-0.0362,0,0,410.497,354.425,368.183,1013.057,214.12,0
,,279,20.51524241,95.001434,0.00133018,0.56684321,0.969582,1.006605,90.49146,-0.0361,0,0,456.251,354.491,368.16,1013.08,321.182,0
,,280,20.51513761,95.54048,0.00133334,0.56685327,0.973356,0.994683,90.354814,-0.0363,0,0,364.271,354.506,368.056,1013.148,143.06,0
,,281,20.51593768,96.473183,0.00133442,0.56681379,0.975971,0.991292,90.221458,-0.0363,0,0,-7.89029932022095E+37,354.48,368.129,1013.118,257.513,0
,,282,20.51615532,95.692503,0.00133018,0.5643167,0.960735,0.99822,90.082351,-0.036,0,0,-2.00970067977905E+37,354.581,368.243,1013.134,396.598,0
,,283,20.51679618,94.264335,0.00133757,0.5637622,0.969577,1.00153,89.961699,-0.036,0,0,315.231,354.711,368.31,1013.093,232.992,0
,,284,20.51866837,94.508737,0.00133126,0.56374284,0.973634,1.002419,89.874752,-0.0361,0,0,202.747,354.804,368.382,1013.05,306.648,0
,,285,20.51889003,95.108972,0.0013291,0.56365381,0.976249,1.008346,89.782688,-0.0356,0,0,479.895,354.798,368.407,1013.059,503.174,0
,,286,20.52033096,95.799199,0.0013291,0.56118579,0.972578,1.014109,89.685649,-0.0363,0,0,295.286,354.837,368.447,1012.856,232.691,0
,,287,20.52049821,95.936826,0.00133334,0.56060178,0.973783,1.004108,89.547463,-0.0364,0,0,227.225,354.899,368.51,1012.923,207.778,0
,,288,20.52065742,95.711555,0.00133442,0.56061183,0.968945,0.993972,89.403941,-0.0363,0,0,312.768,354.856,368.402,1012.908,376.477,0
,,289,20.52263441,95.006139,0.00133442,0.5606908,0.971447,1.001942,89.308329,-0.0359,0,0,332.963,354.82,368.475,1012.973,352.944,0
,,290,20.52291048,94.766439,0.00133442,0.55814491,0.977504,0.999656,89.153278,-0.0352,0,0,140.109,354.865,368.511,1013.084,250.428,0
,,291,20.52477865,94.984713,0.00133018,0.55749134,0.975622,0.995411,88.989666,-0.036,0,0,183.223,354.855,368.484,1013.3,272.875,0
,,292,20.5248411,95.052353,0.0013291,0.55749134,0.969035,1.000438,88.861411,-0.036,0,0,440.571,354.764,368.365,1013.338,494.118,0
,,293,20.52558676,95.744307,0.00133334,0.55500395,0.965953,1.010235,88.739711,-0.0362,0,0,254.569,354.713,368.31,1013.496,271.059,0
,,294,20.52667277,96.026505,0.00133011,0.55437039,0.967854,1.005436,88.647085,-0.0361,0,0,263.089,354.708,368.256,1013.552,295.382,0
,,295,20.52839988,95.355556,0.00133775,0.55433012,0.968685,1.003042,88.46424,-0.0364,0,0,499.896,354.715,368.204,1013.539,409.431,0
,,296,20.5293937,95.904919,0.00133973,0.5543605,0.970274,1.010964,88.284945,-0.0361,0,0,243.88,354.674,368.137,1013.514,178.449,0
,,297,20.52933727,96.000061,0.00133543,0.5518028,0.979197,1.00197,88.213066,-0.0363,0,0,268.874,354.626,368.094,1013.545,266.457,0
,,298,20.52885738,95.937042,0.00133442,0.55127965,0.964868,0.991288,88.13561,-0.0358,0,0,295.514,354.585,368.021,1013.455,338.006,0
,,299,20.52853318,95.928204,0.00133442,0.55125932,0.976119,1.001049,88.051988,-0.0358,0,0,462.356,354.617,368.131,1013.379,402.682,0
,,300,20.53044342,96.154597,0.00133442,0.55116935,0.980828,0.999956,87.951536,-0.0363,0,0,244.768,354.727,368.216,1013.375,367.978,0
,,301,20.53110899,97.057669,0.00133016,0.54877274,0.967697,0.994259,87.818195,-0.0363,0,0,253.762,354.764,368.238,1013.335,370.59,0
,,302,20.53137616,96.178015,0.0013291,0.54813947,0.972312,1.005411,87.645325,-0.0361,0,0,473.905,354.746,368.23,1013.244,455.792,0
,,303,20.53121695,95.60971,0.00133334,0.54808993,0.966926,1.016625,87.503856,-0.0363,0,0,393.77,354.758,368.289,1013.214,-7.89029932022095E+37,0
,,304,20.53094892,96.238292,0.00133018,0.5462242,0.970579,1.009856,87.40771,-0.0362,0,0,249.127,354.796,368.372,1013.164,-2.00970067977905E+37,0
,,305,20.53025365,96.100311,0.00133334,0.54511983,0.97031,1.002315,87.304075,-0.0359,0,0,380.649,354.867,368.439,1013.108,314.553,0
,,306,20.53137214,95.412566,0.00133018,0.54503789,0.972084,1.004496,87.197616,-0.0363,0,0,414.19,354.892,368.4,1013.038,313.081,0
,,307,20.5327667,94.957184,0.00132486,0.54501852,0.969495,0.998588,87.073685,-0.0363,0,0,271.758,354.946,368.456,1013.045,237.631,0
,,308,20.53367961,96.236091,0.00132378,0.54500847,0.975253,0.988033,86.970807,-0.0361,0,0,254.2,354.964,368.419,1013.183,325.702,0
,,309,20.5334156,96.307363,0.00132802,0.54252143,0.970837,0.998641,86.844279,-0.0359,0,0,398.166,354.779,368.198,1013.23,364.188,0
,,310,20.53309316,96.390362,0.0013291,0.54188797,0.970045,1.013008,86.729725,-0.036,0,0,166.87,354.695,368.1,1013.208,292.709,0
,,311,20.53410685,95.898815,0.0013291,0.54188797,0.981155,1.00827,86.551608,-0.0362,0,0,238.592,354.639,368.039,1013.279,376.457,0
,,312,20.53480614,96.365924,0.00132486,0.54184849,0.973232,1.003318,86.468022,-0.0361,0,0,375.211,354.648,368.006,1013.266,374.067,0
,,313,20.53512858,95.49341,0.00133226,0.54187792,0.972423,1.010867,86.395594,-0.0363,0,0,181.811,354.643,367.924,1013.224,215.041,0
,,314,20.53607733,95.443409,0.00132935,0.54188797,0.969909,1.007106,86.310276,-0.0362,0,0,122.345,354.601,367.865,1013.183,271.441,0
,,315,20.53685491,95.28909,0.00132783,0.54069859,0.970871,1.001494,86.176905,-0.0361,0,0,180.444,354.582,367.817,1013.16,364.383,0
,,316,20.53673676,95.986349,0.00133442,0.53876703,0.979798,1.002864,85.956162,-0.0362,0,0,226.852,354.58,367.675,1013.275,202.886,0
,,317,20.53721841,96.834628,0.00133442,0.53876703,0.970151,0.997066,85.781281,-0.0364,0,0,127.682,354.497,367.598,1013.28,357.445,0
,,318,20.53775447,96.152751,0.00133442,0.53876703,0.968298,1.002144,85.607479,-0.0362,0,0,228.063,354.413,367.555,1013.195,375.824,0
,,319,20.53914501,94.277285,0.00133018,0.53876703,0.974239,1.01541,85.507521,-0.0365,0,0,210.556,354.445,367.591,1013.24,276.648,0
,,320,20.53947147,94.222399,0.00133334,0.53631948,0.970756,1.009036,85.452591,-0.0361,0,0,-7.89029932022095E+37,354.568,367.692,1013.192,-7.89029932022095E+37,0
,,321,20.53883061,94.213327,0.00133018,0.53565659,0.964735,1.001618,85.322591,-0.0361,0,0,-2.00970067977905E+37,354.577,367.684,1013.253,-2.00970067977905E+37,0
,,322,20.53866738,94.659442,0.00133334,0.53560705,0.969846,1.010166,85.188203,-0.0358,0,0,410.371,354.543,367.582,1013.224,342.98,0
,,323,20.53930824,95.896665,0.00133018,0.53563648,0.974795,1.002586,85.126115,-0.0358,0,0,-7.89029932022095E+37,354.499,367.468,1013.179,134.215,0
,,324,20.53947147,96.276247,0.00133334,0.53560705,0.971004,0.99044,85.01647,-0.0362,0,0,-2.00970067977905E+37,354.453,367.382,1013.168,370.962,0
,,325,20.54118043,95.655332,0.00133442,0.535597,0.973777,0.997074,84.878861,-0.0362,0,0,379.765,354.4,367.321,1013.145,335.18,0
,,326,20.54161571,96.529963,0.00133018,0.53310997,0.964222,1.000897,84.777651,-0.0362,0,0,259.022,354.41,367.281,1013.115,248.469,0
,,327,20.54097485,96.4873,0.00106214,0.53251599,0.975314,0.99851,84.669086,-0.0362,0,0,423.168,354.38,367.249,1013.009,393.695,0
,,328,20.54081162,95.44424,0.00099414,0.53248656,0.972028,1.006122,84.544212,-0.0355,0,0,450.661,354.291,367.101,1013.059,322.103,0
,,329,20.54145248,94.214487,0.00099414,0.53247651,0.97636,1.015552,84.435955,-0.0353,0,0,304.72,354.293,367.134,1013.074,248.519,0
,,330,20.54311105,93.984453,0.00099414,0.53255547,0.974233,1.011112,84.254544,-0.036,0,0,380.321,354.354,367.197,1012.872,377.602,0
,,331,20.54370554,95.617482,0.00098566,0.53004871,0.969983,1.005221,84.122253,-0.0361,0,0,367.274,354.383,367.207,1012.844,307.48,0
,,332,20.54311909,95.680163,0.00099198,0.52936562,0.977688,1.006146,84.012116,-0.0362,0,0,267.036,354.443,367.238,1012.882,234.816,0
,,333,20.54402396,95.242719,0.00099414,0.52935556,0.975152,0.998845,83.927368,-0.0359,0,0,268.223,354.589,367.381,1012.9,258.677,0
,,334,20.54472325,93.701792,0.00099414,0.52935556,0.978333,0.988789,83.800796,-0.0362,0,0,376.824,354.68,367.519,1012.951,294.042,0
,,335,20.54547293,94.245166,0.00099414,0.52947401,0.975115,0.995809,83.685308,-0.0364,0,0,340.622,354.745,367.507,1012.973,291.603,0
,,336,20.54691788,95.641372,0.00099414,0.52938573,0.972401,1.006691,83.560678,-0.0363,0,0,313.542,354.772,367.606,1012.974,308.515,0
,,337,20.54767158,95.041622,0.0012611,0.52939504,0.972322,1.005345,83.4578,-0.0359,0,0,443.744,354.732,367.613,1012.865,389.961,0
,,338,20.54713954,96.297985,0.00133334,0.52691807,0.976125,1.008479,83.345444,-0.0363,0,0,311.106,354.761,367.639,1012.745,275.934,0
,,339,20.54654907,95.512537,0.00133018,0.52632409,0.968428,1.012028,83.191074,-0.0365,0,0,316.815,354.832,367.777,1012.736,243.093,0
,,340,20.54686749,94.514374,0.00133757,0.52625518,0.972526,1.004098,83.017897,-0.0362,0,0,493.969,354.943,367.876,1012.854,470.502,0
,,341,20.54740355,94.397428,0.00133126,0.52623507,0.977043,0.996621,82.893589,-0.0364,0,0,256.069,355.008,367.805,1012.899,241.066,0
,,342,20.54793961,94.580376,0.0013291,0.52623507,0.980627,1.001071,82.764949,-0.0364,0,0,236.309,354.973,367.806,1012.913,288.693,0
,,343,20.54783481,94.367861,0.00133757,0.52627455,0.970481,0.998514,82.688568,-0.0362,0,0,497.922,355.017,367.921,1012.933,408.058,0
,,344,20.54756678,93.489508,0.00133126,0.52620564,0.966694,0.992447,82.558055,-0.0363,0,0,-7.89029932022095E+37,354.998,367.829,1012.987,205.271,0
,,345,20.54708513,93.802843,0.0013291,0.52626449,0.97657,0.999228,82.40871,-0.0363,0,0,-2.00970067977905E+37,355.066,367.887,1012.943,270.612,0
,,346,20.54718993,94.216958,0.0013291,0.52628461,0.977992,1.008846,82.288723,-0.0363,0,0,498.374,355.167,367.955,1012.947,420.383,0
,,347,20.54767158,95.3932,0.0013291,0.52632409,0.964671,1.006234,82.130138,-0.0362,0,0,326.85,355.242,368.149,1012.941,-7.89029932022095E+37,0
,,348,20.5477804,95.539597,0.0013291,0.5262157,0.965545,1.004826,81.93237,-0.0364,0,0,240.831,355.285,368.272,1012.962,-2.00970067977905E+37,0
,,349,20.54735316,93.984566,0.0013291,0.52373762,0.972557,1.012325,81.833664,-0.0357,0,0,390.653,355.288,368.181,1012.924,386.253,0
,,350,20.54852606,93.947799,0.00133334,0.52311412,0.981744,1.003915,81.746883,-0.0356,0,0,319.716,355.285,368.214,1012.648,249.613,0
,,351,20.5486389,94.545576,0.00133018,0.5231536,0.976665,0.989436,81.579008,-0.0361,0,0,234.744,355.21,368.091,1012.622,290.918,0
