s,kg/m2,C,C
Time,"null","null","null"
 5.8560000E+003, 5.4150334E-003, 2.1482000E+002, 2.1476414E+002
 5.8800000E+003, 5.4149769E-003, 2.1562000E+002, 2.1556418E+002
 5.9040000E+003, 5.4149164E-003, 2.1642000E+002, 2.1636423E+002
 5.9280000E+003, 5.4148514E-003, 2.1722000E+002, 2.1716427E+002
 5.9520000E+003, 5.4147817E-003, 2.1802000E+002, 2.1796431E+002
 5.9760000E+003, 5.4147070E-003, 2.1882000E+002, 2.1876435E+002
 6.0000000E+003, 5.4146269E-003, 2.1962000E+002, 2.1956440E+002
 6.0240000E+003, 5.4145410E-003, 2.2042000E+002, 2.2036444E+002
 6.0480000E+003, 5.4144490E-003, 2.2122000E+002, 2.2116448E+002
 6.0720000E+003, 5.4143504E-003, 2.2202000E+002, 2.2196452E+002
 6.0960000E+003, 5.4142448E-003, 2.2282000E+002, 2.2276456E+002
 6.1200000E+003, 5.4141317E-003, 2.2362000E+002, 2.2356460E+002
 6.1440000E+003, 5.4140107E-003, 2.2442000E+002, 2.2436464E+002
 6.1680000E+003, 5.4138811E-003, 2.2522000E+002, 2.2516468E+002
 6.1920000E+003, 5.4137425E-003, 2.2602000E+002, 2.2596471E+002
 6.2160000E+003, 5.4135941E-003, 2.2682000E+002, 2.2676475E+002
 6.2400000E+003, 5.4134355E-003, 2.2762000E+002, 2.2756479E+002
 6.2640000E+003, 5.4132658E-003, 2.2842000E+002, 2.2836482E+002
 6.2880000E+003, 5.4130843E-003, 2.2922000E+002, 2.2916486E+002
 6.3120000E+003, 5.4128904E-003, 2.3002000E+002, 2.2996490E+002
 6.3360000E+003, 5.4126831E-003, 2.3082000E+002, 2.3076493E+002
 6.3600000E+003, 5.4124616E-003, 2.3162000E+002, 2.3156497E+002
 6.3840000E+003, 5.4122250E-003, 2.3242000E+002, 2.3236500E+002
 6.4080000E+003, 5.4119723E-003, 2.3322000E+002, 2.3316503E+002
 6.4320000E+003, 5.4117024E-003, 2.3402000E+002, 2.3396507E+002
 6.4560000E+003, 5.4114143E-003, 2.3482000E+002, 2.3476510E+002
 6.4800000E+003, 5.4111068E-003, 2.3562000E+002, 2.3556513E+002
 6.5040000E+003, 5.4107786E-003, 2.3642000E+002, 2.3636516E+002
 6.5280000E+003, 5.4104285E-003, 2.3722000E+002, 2.3716519E+002
 6.5520000E+003, 5.4100550E-003, 2.3802000E+002, 2.3796522E+002
 6.5760000E+003, 5.4096567E-003, 2.3882000E+002, 2.3876525E+002
 6.6000000E+003, 5.4092319E-003, 2.3962000E+002, 2.3956528E+002
 6.6240000E+003, 5.4087792E-003, 2.4042000E+002, 2.4036531E+002
 6.6480000E+003, 5.4082966E-003, 2.4122000E+002, 2.4116534E+002
 6.6720000E+003, 5.4077823E-003, 2.4202000E+002, 2.4196536E+002
 6.6960000E+003, 5.4072345E-003, 2.4282000E+002, 2.4276539E+002
 6.7200000E+003, 5.4066509E-003, 2.4362000E+002, 2.4356541E+002
 6.7440000E+003, 5.4060294E-003, 2.4442000E+002, 2.4436544E+002
 6.7680000E+003, 5.4053677E-003, 2.4522000E+002, 2.4516546E+002
 6.7920000E+003, 5.4046633E-003, 2.4602000E+002, 2.4596548E+002
 6.8160000E+003, 5.4039136E-003, 2.4682000E+002, 2.4676550E+002
 6.8400000E+003, 5.4031158E-003, 2.4762000E+002, 2.4756553E+002
 6.8640000E+003, 5.4022671E-003, 2.4842000E+002, 2.4836554E+002
 6.8880000E+003, 5.4013643E-003, 2.4922000E+002, 2.4916556E+002
 6.9120000E+003, 5.4004043E-003, 2.5002000E+002, 2.4996558E+002
 6.9360000E+003, 5.3993835E-003, 2.5082000E+002, 2.5076560E+002
 6.9600000E+003, 5.3982985E-003, 2.5162000E+002, 2.5156561E+002
 6.9840000E+003, 5.3971452E-003, 2.5242000E+002, 2.5236562E+002
 7.0080000E+003, 5.3959198E-003, 2.5322000E+002, 2.5316564E+002
 7.0320000E+003, 5.3946180E-003, 2.5402000E+002, 2.5396565E+002
 7.0560000E+003, 5.3932353E-003, 2.5482000E+002, 2.5476566E+002
 7.0800000E+003, 5.3917669E-003, 2.5562000E+002, 2.5556566E+002
 7.1040000E+003, 5.3902078E-003, 2.5642000E+002, 2.5636567E+002
 7.1280000E+003, 5.3885529E-003, 2.5722000E+002, 2.5716568E+002
 7.1520000E+003, 5.3867965E-003, 2.5802000E+002, 2.5796568E+002
 7.1760000E+003, 5.3849329E-003, 2.5882000E+002, 2.5876568E+002
 7.2000000E+003, 5.3829558E-003, 2.5962000E+002, 2.5956568E+002
 7.2240000E+003, 5.3808588E-003, 2.6042000E+002, 2.6036568E+002
 7.2480000E+003, 5.3786350E-003, 2.6122000E+002, 2.6116567E+002
 7.2720000E+003, 5.3762774E-003, 2.6202000E+002, 2.6196567E+002
 7.2960000E+003, 5.3737784E-003, 2.6282000E+002, 2.6276566E+002
 7.3200000E+003, 5.3711300E-003, 2.6362000E+002, 2.6356565E+002
 7.3440000E+003, 5.3683239E-003, 2.6442000E+002, 2.6436564E+002
 7.3680000E+003, 5.3653513E-003, 2.6522000E+002, 2.6516562E+002
 7.3920000E+003, 5.3622031E-003, 2.6602000E+002, 2.6596561E+002
 7.4160000E+003, 5.3588695E-003, 2.6682000E+002, 2.6676559E+002
 7.4400000E+003, 5.3553404E-003, 2.6762000E+002, 2.6756556E+002
 7.4640000E+003, 5.3516052E-003, 2.6842000E+002, 2.6836554E+002
 7.4880000E+003, 5.3476526E-003, 2.6922000E+002, 2.6916551E+002
 7.5120000E+003, 5.3434710E-003, 2.7002000E+002, 2.6996548E+002
 7.5360000E+003, 5.3390481E-003, 2.7082000E+002, 2.7076544E+002
 7.5600000E+003, 5.3343710E-003, 2.7162000E+002, 2.7156541E+002
 7.5840000E+003, 5.3294262E-003, 2.7242000E+002, 2.7236537E+002
 7.6080000E+003, 5.3241995E-003, 2.7322000E+002, 2.7316532E+002
 7.6320000E+003, 5.3186763E-003, 2.7402000E+002, 2.7396527E+002
 7.6560000E+003, 5.3128410E-003, 2.7482000E+002, 2.7476522E+002
 7.6800000E+003, 5.3066776E-003, 2.7562000E+002, 2.7556517E+002
 7.7040000E+003, 5.3001690E-003, 2.7642000E+002, 2.7636511E+002
 7.7280000E+003, 5.2932978E-003, 2.7722000E+002, 2.7716504E+002
 7.7520000E+003, 5.2860455E-003, 2.7802000E+002, 2.7796498E+002
 7.7760000E+003, 5.2783929E-003, 2.7882000E+002, 2.7876490E+002
 7.8000000E+003, 5.2703199E-003, 2.7962000E+002, 2.7956483E+002
 7.8240000E+003, 5.2618058E-003, 2.8042000E+002, 2.8036475E+002
 7.8480000E+003, 5.2528289E-003, 2.8122000E+002, 2.8116466E+002
 7.8720000E+003, 5.2433665E-003, 2.8202000E+002, 2.8196457E+002
 7.8960000E+003, 5.2333952E-003, 2.8282000E+002, 2.8276447E+002
 7.9200000E+003, 5.2228905E-003, 2.8362000E+002, 2.8356437E+002
 7.9440000E+003, 5.2118273E-003, 2.8442000E+002, 2.8436426E+002
 7.9680000E+003, 5.2001791E-003, 2.8522000E+002, 2.8516415E+002
 7.9920000E+003, 5.1879189E-003, 2.8602000E+002, 2.8596403E+002
 8.0160000E+003, 5.1750183E-003, 2.8682000E+002, 2.8676390E+002
 8.0400000E+003, 5.1614484E-003, 2.8762000E+002, 2.8756377E+002
 8.0640000E+003, 5.1471790E-003, 2.8842000E+002, 2.8836363E+002
 8.0880000E+003, 5.1321791E-003, 2.8922000E+002, 2.8916349E+002
 8.1120000E+003, 5.1164165E-003, 2.9002000E+002, 2.8996334E+002
 8.1360000E+003, 5.0998585E-003, 2.9082000E+002, 2.9076318E+002
 8.1600000E+003, 5.0824711E-003, 2.9162000E+002, 2.9156301E+002
 8.1840000E+003, 5.0642196E-003, 2.9242000E+002, 2.9236284E+002
 8.2080000E+003, 5.0450682E-003, 2.9322000E+002, 2.9316266E+002
 8.2320000E+003, 5.0249807E-003, 2.9402000E+002, 2.9396248E+002
 8.2560000E+003, 5.0039196E-003, 2.9482000E+002, 2.9476229E+002
 8.2800000E+003, 4.9818471E-003, 2.9562000E+002, 2.9556209E+002
 8.3040000E+003, 4.9587245E-003, 2.9642000E+002, 2.9636188E+002
