s, (kW/m²), (MJ/kg), (m²/kg), (g/s),(g/s·m²),g
Time,HRR,EHC,SEA,MLR,Specific MLR ,Mass
320,144.7568614,14.37789251,46.42411298,0.100680167,10.06801667,78.695526
321,143.8918839,17.72167566,58.68595641,0.081195417,8.119541667,78.608725
322,145.5409898,10.15510891,36.43188894,0.143318,14.3318,78.514026
323,146.5445868,9.961768425,34.36321492,0.147107,14.7107,78.336409
324,145.6767927,17.61597735,80.78457948,0.082695833,8.269583333,78.236814
325,144.3708035,17.76317581,106.3470854,0.081275333,8.127533333,78.156313
326,143.2618493,12.98887229,65.49081272,0.110295833,11.02958333,78.065608
327,142.9488147,13.38676777,97.96222737,0.106783667,10.67836667,77.942065
328,142.4183796,11.10897688,68.80184686,0.128201167,12.82011667,77.84638
329,142.784535,8.868049258,37.69710323,0.161010083,16.10100833,77.683893
330,142.3121963,10.79956717,46.41749701,0.131775833,13.17758333,77.538646
331,142.408222,9.850076658,25.62445233,0.14457575,14.457575,77.412314
332,142.6379437,10.63069302,25.76987179,0.134175583,13.41755833,77.255058
333,143.0186751,14.44948099,52.92987788,0.098978417,9.897841667,77.150098
334,142.5283571,17.06752691,55.01818682,0.0835085,8.35085,77.051025
335,142.8814363,11.05198443,38.99657226,0.12928125,12.928125,76.967791
336,141.7331515,9.53370556,44.06953491,0.148665333,14.86653333,76.798704
337,140.8643384,12.12001234,68.23813202,0.116224583,11.62245833,76.682905
338,141.6373928,10.48301347,40.81313291,0.135111333,13.51113333,76.555921
339,140.994434,11.56481238,50.56160911,0.12191675,12.191675,76.420222
340,142.0490065,18.34932508,74.54791764,0.07741375,7.741375,76.318576
341,142.6754637,13.36160714,26.32247265,0.106780167,10.67801667,76.247146
342,142.4082507,9.257036949,27.76691458,0.153837833,15.38378333,76.100278
343,143.572855,10.63362817,57.73632574,0.13501775,13.501775,75.9552
344,142.5429468,11.03652286,84.02840843,0.129155667,12.91556667,75.829062
345,142.4354219,12.02670056,64.77408708,0.118432667,11.84326667,75.697631
346,141.6197643,12.33436302,75.23000904,0.11481725,11.481725,75.589594
347,141.1436808,10.04460418,68.54331129,0.140516917,14.05169167,75.460648
348,141.1749267,8.834411513,40.65030716,0.159801167,15.98011667,75.311005
349,139.997713,11.57599042,46.24316793,0.120938,12.0938,75.155122
350,139.626301,12.84150271,40.6001474,0.1087305,10.87305,75.063
351,139.5292589,10.24724782,17.43303753,0.136162667,13.61626667,74.927864
352,138.9920415,10.37642512,30.88790381,0.133949833,13.39498333,74.797707
353,139.3979442,13.24822599,60.75939734,0.105220083,10.52200833,74.66673
354,140.4183228,14.01104302,58.879955,0.10021975,10.021975,74.581326
355,140.3085748,11.99999785,53.72477847,0.116923833,11.69238333,74.459457
356,140.2972543,9.174962322,60.43602391,0.152913167,15.29131667,74.34216
357,140.495218,7.740019308,38.32452026,0.181517917,18.15179167,74.156488
358,141.4331536,9.233265057,28.3715282,0.153177833,15.31778333,73.992532
359,142.4360272,8.298525338,32.393016,0.171640167,17.16401667,73.840648
360,142.526474,8.352902131,36.81867193,0.170631083,17.06310833,73.653574
361,142.5131512,9.405598039,17.43530169,0.1515195,15.15195,73.504506
362,143.9826554,10.69763327,43.69476424,0.134593,13.4593,73.350969
363,144.4562314,14.60100214,60.97254787,0.098935833,9.893583333,73.238042
364,144.2137225,10.85622436,49.91066387,0.132839667,13.28396667,73.136978
365,145.6383826,10.60507766,37.30677838,0.137328917,13.73289167,72.979808
366,145.3190473,20.58324009,117.5671069,0.070600667,7.060066667,72.879173
367,145.1798417,21.36463873,128.6440664,0.067953333,6.795333333,72.823549
368,145.5653745,15.41472666,97.35143065,0.094432667,9.443266667,72.734114
369,144.3231375,12.61063409,64.17744891,0.114445583,11.44455833,72.634776
370,144.7987994,9.346043647,29.2043487,0.154930583,15.49305833,72.502181
371,145.3942614,11.52177679,46.5720408,0.126190833,12.61908333,72.341432
372,146.2621188,12.87284462,58.58531082,0.113620667,11.36206667,72.246529
373,146.5775108,9.819502283,52.85870855,0.149271833,14.92718333,72.10385
374,146.8995833,14.04905228,65.96493119,0.104561917,10.45619167,71.964973
