 (s),(kW/m²), (MJ/kg),(m²/kg), (g/s),(g/s·m²)
Time,HRR ,EHC,SEA ,MLR,Specific MLR 
294,95.90860311,18.36243873,-6.947707596,0.046172083,5.22308635
295,93.55789296,7.654337213,-3.453108314,0.108050083,12.22286011
296,92.08739612,9.175223406,-3.07068541,0.088722917,10.03652903
297,92.72304573,15.74061856,-7.281769391,0.052073667,5.890686275
298,93.18729042,6.391840791,-2.969106783,0.12887925,14.57910068
299,92.10693334,6.869930355,-3.388730824,0.118520167,13.40725867
300,90.03904701,50.71464203,-20.4119153,0.015694583,1.775405354
301,91.48630848,14.09218872,-6.184905865,0.057389167,6.491987179
302,92.30277443,9.057914082,-2.81413,0.090082167,10.19029035
303,92.68730531,10.1365796,-2.427234163,0.080831583,9.143844268
304,91.57482096,6.603805284,-1.97308956,0.122584083,13.86697775
305,92.42390763,10.66630416,-3.844202363,0.076598917,8.665035822
306,93.4219795,25.71080372,-9.959698346,0.03212075,3.633569005
307,93.9011424,15.73078696,-4.714527194,0.05276825,5.96925905
308,90.96601308,9.352227085,-2.50036602,0.08598375,9.726668552
309,91.37446479,5.242289205,-1.717003546,0.1540835,17.43026018
310,91.46921462,9.567577391,-3.957666736,0.084513333,9.560331825
311,93.79654855,19.97225519,-10.27918228,0.041515667,4.696342383
312,94.64340675,13.36410776,-6.038179651,0.062604083,7.081909879
313,91.46308511,17.95408237,-8.672956972,0.045033417,5.094277903
314,91.4822781,7.319658668,-3.154611235,0.11048375,12.49816176
315,93.16147294,7.193349664,-2.766074561,0.114487333,12.95105581
316,93.26490095,14.01466508,-5.968759601,0.0588285,6.654807692
317,92.96399637,17.0768431,-4.996735466,0.04812375,5.443863122
318,93.31841087,13.11324785,-3.702531059,0.0629085,7.116346154
319,92.62239986,7.380154491,-2.309388485,0.11094375,12.55019796
320,94.19113626,9.535612054,-3.821365861,0.08732,9.877828054
321,95.44376943,8.895393893,-2.646893827,0.094849417,10.72957202
322,94.46946928,7.57064917,-2.830549571,0.110308917,12.47838424
323,94.43129453,11.30806469,-6.012827491,0.073821,8.350791855
324,94.46724406,15.4392868,-6.276933599,0.054088667,6.118627451
325,93.80657941,8.634747014,-3.413946371,0.096036417,10.86384804
326,96.32441169,22.45192062,-10.73322224,0.037925833,4.29025264
327,90.51701882,11.59054191,-4.704432139,0.0690365,7.809558824
328,92.31559656,7.295288999,-2.260311626,0.111862583,12.65413839
329,91.94172667,11.99388863,-6.270026293,0.067764917,7.665714555
330,93.41065685,8.837547105,-3.114790737,0.093436583,10.56974925
331,92.87061544,9.469925374,-3.664381496,0.086693,9.806900452
332,95.39836955,24.47093925,-9.061938118,0.034462167,3.898435143
333,95.79264883,12.05848367,-5.493727511,0.070225,7.944004525
334,93.7017569,4.937634245,-2.025657002,0.167757167,18.97705505
335,95.92810505,9.241858592,-4.405439536,0.091756917,10.3797417
336,94.92452911,29.10203187,-12.98083587,0.028834167,3.26178356
337,93.46432197,31.61472936,-13.07261165,0.026134167,2.956353695
338,97.04771074,10.21424101,-4.194361954,0.08399075,9.501216063
339,96.31070109,6.690533822,-2.696191791,0.127252417,14.39506976
340,93.11558872,12.61437844,-3.895942496,0.06525425,7.381702489
341,94.84717378,12.0822539,-5.062136201,0.069395083,7.850122549
342,96.83993842,10.10243343,-4.387718558,0.0847385,9.585803167
343,93.90138149,9.986894645,-3.920056705,0.08311775,9.402460407
344,93.63967934,11.30669934,-3.490337996,0.073211,8.28178733
345,94.13571887,15.3011093,-5.56683556,0.054385583,6.152215309
346,96.01614398,7.565936661,-2.931839473,0.11218475,12.69058258
347,96.18271653,9.134753185,-3.148537445,0.093079167,10.5293175
348,92.32218961,19.20512424,-9.375428058,0.042495333,4.807164404
349,94.23332549,8.473261692,-3.534028761,0.098311917,11.12125754
350,94.60118139,6.993825488,-3.532538138,0.11957325,13.52638575
351,93.08138118,9.495442159,-3.589519691,0.08665625,9.802743213
352,93.93839941,34.0060109,-13.94654738,0.024419667,2.762405732
353,94.11342784,16.39338066,-5.67887007,0.050749917,5.740940799
354,96.42246491,7.347207024,-2.89330646,0.116013417,13.12368967
355,96.29981062,13.81450882,-7.242490206,0.061622917,6.970918175
356,93.76806319,11.7972569,-4.087632681,0.070262917,7.948293741
357,94.19336831,7.454137294,-2.970590426,0.111705667,12.63638763
358,92.48463578,7.803356662,-2.914355507,0.104770833,11.85190422
359,92.04843071,13.07904022,-3.990131599,0.062214667,7.03785822
360,93.22655827,10.43559953,-5.074978027,0.07897225,8.933512443
361,92.63050449,9.221229807,-3.293222055,0.088800917,10.04535256
